iter	Passed	Remaining
525	54738	49327
526	54853	49233
527	54968	49138
528	55070	49032
529	55164	48919
530	55290	48834
531	55386	48723
532	55488	48617
533	55595	48515
534	55710	48421
535	55821	48323
536	55921	48215
537	56029	48114
538	56130	48007
539	56250	47917
540	56356	47814
541	56463	47712
542	56575	47615
543	56700	47528
544	56806	47425
545	56924	47333
546	57045	47242
547	57148	47137
548	57254	47034
549	57354	46926
550	57467	46829
551	57568	46721
552	57667	46613
553	57781	46516
554	57883	46410
555	57992	46310
556	58099	46208
557	58211	46110
558	58315	46005
559	58429	45908
560	58528	45800
561	58627	45692
562	58733	45588
563	58837	45484
564	58935	45375
565	59036	45267
566	59132	45157
567	59223	45043
568	59308	44924
569	59417	44823
570	59521	44719
571	59632	44620
572	59749	44525
573	59839	44410
574	59932	44297
575	60029	44188
576	60135	44085
577	60237	43979
578	60326	43864
579	60420	43753
580	60515	43642
581	60618	43536
582	60722	43432
583	60817	43321
584	60919	43216
585	61018	43108
586	61114	42998
587	61209	42888
588	61303	42777
589	61393	42663
590	61480	42547
591	61590	42447
592	61690	42340
593	61795	42237
594	61898	42132
595	61999	42026
596	62100	41920
597	62199	41812
598	62307	41711
599	62407	41604
600	62511	41501
601	62607	41391
602	62710	41286
603	62812	41181
604	62906	41070
605	63013	40969
606	63118	40865
607	63222	40761
608	63318	40652
609	63420	40547
610	63525	40444
611	63623	40336
612	63717	40226
613	63820	40121
614	63926	40018
615	64023	39910
616	64128	39807
617	64228	39701
618	64315	39586
619	64411	39478
620	64522	39378
621	64632	39278
622	64736	39174
623	64840	39070
624	64954	38972
625	65053	38865
626	65154	38760
627	65268	38662
628	65393	38570
629	65490	38462
630	65593	38358
631	65695	38253
632	65793	38145
633	65894	38040
634	65998	37936
635	66095	37828
636	66198	37723
637	66304	37621
638	66396	37510
639	66496	37404
640	66593	37296
641	66709	37199
642	66810	37094
643	66934	37001
644	67104	36933
645	67226	36839
646	67343	36742
647	67461	36645
648	67566	36542
649	67671	36438
650	67780	36337
651	67889	36235
652	67989	36129
653	68097	36027
654	68196	35920
655	68296	35814
656	68394	35706
657	68501	35604
658	68605	35499
659	68714	35398
660	68815	35292
661	68912	35184
662	69029	35087
663	69148	34990
664	69250	34885
665	69348	34778
666	69462	34679
667	69560	34571
668	69668	34469
669	69773	34365
670	69882	34264
671	69983	34158
672	70088	34054
673	70195	33952
674	70301	33848
675	70407	33745
676	70506	33638
677	70605	33532
678	70703	33425
679	70802	33318
680	70895	33209
681	71001	33106
682	71101	33000
683	71190	32889
684	71282	32779
685	71374	32670
686	71470	32562
687	71572	32457
688	71673	32351
689	71771	32245
690	71863	32135
691	71967	32031
692	72066	31925
693	72164	31819
694	72274	31717
695	72369	31609
696	72469	31503
697	72567	31397
698	72669	31292
699	72771	31187
700	72883	31087
701	72987	30983
702	73089	30878
703	73190	30773
704	73296	30670
705	73415	30572
706	73521	30469
707	73626	30365
708	73730	30261
709	73836	30158
710	73939	30054
711	74048	29952
712	74150	29847
713	74244	29739
714	74369	29643
715	74477	29541
716	74571	29433
717	74678	29330
718	74779	29225
719	74888	29123
720	74998	29021
721	75105	28918
722	75209	28814
723	75316	28711
724	75420	28607
725	75524	28503
726	75641	28404
727	75754	28304
728	75861	28200
729	75960	28095
730	76072	27993
731	76182	27891
732	76302	27793
733	76404	27688
734	76503	27583
735	76605	27478
736	76708	27373
737	76830	27275
738	76942	27174
739	77042	27068
740	77154	26967
741	77262	26864
742	77368	26761
743	77474	26657
744	77571	26551
745	77672	26446
746	77785	26344
747	77889	26240
748	77992	26136
749	78099	26033
750	78203	25928
751	78310	25825
752	78406	25719
753	78516	25616
754	78626	25514
755	78740	25413
756	78856	25313
